Filename,Date,Subject,ChatGPT Prompt (copy this into Coloring Book Hero)
february_20.png,February 20,flowers for a friend,"Simple black and white coloring book page for a 4-year-old of flowers for a friend. Clean outlines, no shading, lots of white space."
february_21.png,February 21,butterflies,"Simple black and white coloring book page for a 4-year-old of butterflies. Clean outlines, no shading, lots of white space."
february_22.png,February 22,love birds,"Simple black and white coloring book page for a 4-year-old of love birds. Clean outlines, no shading, lots of white space."
february_23.png,February 23,a heart mobile,"Simple black and white coloring book page for a 4-year-old of a heart mobile. Clean outlines, no shading, lots of white space."
february_24.png,February 24,Valentine cookies,"Simple black and white coloring book page for a 4-year-old of Valentine cookies. Clean outlines, no shading, lots of white space."
february_25.png,February 25,a family portrait,"Simple black and white coloring book page for a 4-year-old of a family portrait. Clean outlines, no shading, lots of white space."
february_26.png,February 26,a heart kite,"Simple black and white coloring book page for a 4-year-old of a heart kite. Clean outlines, no shading, lots of white space."
february_27.png,February 27,a pink castle,"Simple black and white coloring book page for a 4-year-old of a pink castle. Clean outlines, no shading, lots of white space."
february_28.png,February 28,a heart-shaped island,"Simple black and white coloring book page for a 4-year-old of a heart-shaped island. Clean outlines, no shading, lots of white space."
march_01.png,March 1,a flower garden,"Simple black and white coloring book page for a 4-year-old of a flower garden. Clean outlines, no shading, lots of white space."
march_02.png,March 2,tulips,"Simple black and white coloring book page for a 4-year-old of tulips. Clean outlines, no shading, lots of white space."
march_03.png,March 3,a butterfly,"Simple black and white coloring book page for a 4-year-old of a butterfly. Clean outlines, no shading, lots of white space."
march_04.png,March 4,a rainbow,"Simple black and white coloring book page for a 4-year-old of a rainbow. Clean outlines, no shading, lots of white space."
march_05.png,March 5,a sea turtle,"Simple black and white coloring book page for a 4-year-old of a sea turtle. Clean outlines, no shading, lots of white space."
march_06.png,March 6,spring birds,"Simple black and white coloring book page for a 4-year-old of spring birds. Clean outlines, no shading, lots of white space."
march_07.png,March 7,a beach scene,"Simple black and white coloring book page for a 4-year-old of a beach scene. Clean outlines, no shading, lots of white space."
march_08.png,March 8,flowers,"Simple black and white coloring book page for a 4-year-old of flowers. Clean outlines, no shading, lots of white space."
march_09.png,March 9,a caterpillar,"Simple black and white coloring book page for a 4-year-old of a caterpillar. Clean outlines, no shading, lots of white space."
march_10.png,March 10,ocean waves,"Simple black and white coloring book page for a 4-year-old of ocean waves. Clean outlines, no shading, lots of white space."
march_11.png,March 11,baby chicks,"Simple black and white coloring book page for a 4-year-old of baby chicks. Clean outlines, no shading, lots of white space."
march_12.png,March 12,a kite,"Simple black and white coloring book page for a 4-year-old of a kite. Clean outlines, no shading, lots of white space."
march_13.png,March 13,Holi colors,"Simple black and white coloring book page for a 4-year-old of Holi colors. Clean outlines, no shading, lots of white space."
march_14.png,March 14,a bird nest with eggs,"Simple black and white coloring book page for a 4-year-old of a bird nest with eggs. Clean outlines, no shading, lots of white space."
march_15.png,March 15,a spring tree,"Simple black and white coloring book page for a 4-year-old of a spring tree. Clean outlines, no shading, lots of white space."
march_16.png,March 16,fish in the sea,"Simple black and white coloring book page for a 4-year-old of fish in the sea. Clean outlines, no shading, lots of white space."
march_17.png,March 17,a shamrock,"Simple black and white coloring book page for a 4-year-old of a shamrock. Clean outlines, no shading, lots of white space."
march_18.png,March 18,a bunny,"Simple black and white coloring book page for a 4-year-old of a bunny. Clean outlines, no shading, lots of white space."
march_19.png,March 19,waves and sand,"Simple black and white coloring book page for a 4-year-old of waves and sand. Clean outlines, no shading, lots of white space."
march_20.png,March 20,tulips,"Simple black and white coloring book page for a 4-year-old of tulips. Clean outlines, no shading, lots of white space."
march_21.png,March 21,a hula dancer,"Simple black and white coloring book page for a 4-year-old of a hula dancer. Clean outlines, no shading, lots of white space."
march_22.png,March 22,a Hawaiian sunset,"Simple black and white coloring book page for a 4-year-old of a Hawaiian sunset. Clean outlines, no shading, lots of white space."
march_23.png,March 23,plumeria flowers,"Simple black and white coloring book page for a 4-year-old of plumeria flowers. Clean outlines, no shading, lots of white space."
march_24.png,March 24,a spring picnic,"Simple black and white coloring book page for a 4-year-old of a spring picnic. Clean outlines, no shading, lots of white space."
march_25.png,March 25,a ladybug,"Simple black and white coloring book page for a 4-year-old of a ladybug. Clean outlines, no shading, lots of white space."
march_26.png,March 26,ducks on a pond,"Simple black and white coloring book page for a 4-year-old of ducks on a pond. Clean outlines, no shading, lots of white space."
march_27.png,March 27,a bee and flowers,"Simple black and white coloring book page for a 4-year-old of a bee and flowers. Clean outlines, no shading, lots of white space."
march_28.png,March 28,spring rain and rainbow,"Simple black and white coloring book page for a 4-year-old of spring rain and rainbow. Clean outlines, no shading, lots of white space."
march_29.png,March 29,baby animals,"Simple black and white coloring book page for a 4-year-old of baby animals. Clean outlines, no shading, lots of white space."
march_30.png,March 30,a garden,"Simple black and white coloring book page for a 4-year-old of a garden. Clean outlines, no shading, lots of white space."
march_31.png,March 31,a spring scene,"Simple black and white coloring book page for a 4-year-old of a spring scene. Clean outlines, no shading, lots of white space."
april_01.png,April 1,Easter eggs,"Simple black and white coloring book page for a 4-year-old of Easter eggs. Clean outlines, no shading, lots of white space."
april_02.png,April 2,an Easter bunny,"Simple black and white coloring book page for a 4-year-old of an Easter bunny. Clean outlines, no shading, lots of white space."
april_03.png,April 3,baby chicks,"Simple black and white coloring book page for a 4-year-old of baby chicks. Clean outlines, no shading, lots of white space."
april_04.png,April 4,an Easter cross,"Simple black and white coloring book page for a 4-year-old of an Easter cross. Clean outlines, no shading, lots of white space."
april_05.png,April 5,an Easter basket filled with eggs,"Simple black and white coloring book page for a 4-year-old of an Easter basket filled with eggs. Clean outlines, no shading, lots of white space."
april_06.png,April 6,a baby lamb,"Simple black and white coloring book page for a 4-year-old of a baby lamb. Clean outlines, no shading, lots of white space."
april_07.png,April 7,tulips,"Simple black and white coloring book page for a 4-year-old of tulips. Clean outlines, no shading, lots of white space."
april_08.png,April 8,April rain,"Simple black and white coloring book page for a 4-year-old of April rain. Clean outlines, no shading, lots of white space."
april_09.png,April 9,palm branches,"Simple black and white coloring book page for a 4-year-old of palm branches. Clean outlines, no shading, lots of white space."
april_10.png,April 10,a robin,"Simple black and white coloring book page for a 4-year-old of a robin. Clean outlines, no shading, lots of white space."
april_11.png,April 11,a butterfly,"Simple black and white coloring book page for a 4-year-old of a butterfly. Clean outlines, no shading, lots of white space."
april_12.png,April 12,daisies,"Simple black and white coloring book page for a 4-year-old of daisies. Clean outlines, no shading, lots of white space."
april_13.png,April 13,a bird nest with eggs,"Simple black and white coloring book page for a 4-year-old of a bird nest with eggs. Clean outlines, no shading, lots of white space."
april_14.png,April 14,Easter lilies,"Simple black and white coloring book page for a 4-year-old of Easter lilies. Clean outlines, no shading, lots of white space."
april_15.png,April 15,a spring garden,"Simple black and white coloring book page for a 4-year-old of a spring garden. Clean outlines, no shading, lots of white space."
april_16.png,April 16,a frog on a lily pad,"Simple black and white coloring book page for a 4-year-old of a frog on a lily pad. Clean outlines, no shading, lots of white space."
april_17.png,April 17,a worm in the rain,"Simple black and white coloring book page for a 4-year-old of a worm in the rain. Clean outlines, no shading, lots of white space."
april_18.png,April 18,spring clouds,"Simple black and white coloring book page for a 4-year-old of spring clouds. Clean outlines, no shading, lots of white space."
april_19.png,April 19,ducklings,"Simple black and white coloring book page for a 4-year-old of ducklings. Clean outlines, no shading, lots of white space."
april_20.png,April 20,a spring rainbow,"Simple black and white coloring book page for a 4-year-old of a spring rainbow. Clean outlines, no shading, lots of white space."
april_21.png,April 21,a kite,"Simple black and white coloring book page for a 4-year-old of a kite. Clean outlines, no shading, lots of white space."
april_22.png,April 22,the earth,"Simple black and white coloring book page for a 4-year-old of the earth. Clean outlines, no shading, lots of white space."
april_23.png,April 23,a bee on a flower,"Simple black and white coloring book page for a 4-year-old of a bee on a flower. Clean outlines, no shading, lots of white space."
april_24.png,April 24,cherry blossoms,"Simple black and white coloring book page for a 4-year-old of cherry blossoms. Clean outlines, no shading, lots of white space."
april_25.png,April 25,a snail,"Simple black and white coloring book page for a 4-year-old of a snail. Clean outlines, no shading, lots of white space."
april_26.png,April 26,a ladybug,"Simple black and white coloring book page for a 4-year-old of a ladybug. Clean outlines, no shading, lots of white space."
april_27.png,April 27,muddy boots,"Simple black and white coloring book page for a 4-year-old of muddy boots. Clean outlines, no shading, lots of white space."
april_28.png,April 28,irises,"Simple black and white coloring book page for a 4-year-old of irises. Clean outlines, no shading, lots of white space."
april_29.png,April 29,a seedling sprouting,"Simple black and white coloring book page for a 4-year-old of a seedling sprouting. Clean outlines, no shading, lots of white space."
april_30.png,April 30,a spring pond,"Simple black and white coloring book page for a 4-year-old of a spring pond. Clean outlines, no shading, lots of white space."
may_01.png,May 1,a Mother's Day card,"Simple black and white coloring book page for a 4-year-old of a Mother's Day card. Clean outlines, no shading, lots of white space."
may_02.png,May 2,roses,"Simple black and white coloring book page for a 4-year-old of roses. Clean outlines, no shading, lots of white space."
may_03.png,May 3,the bright May sun,"Simple black and white coloring book page for a 4-year-old of the bright May sun. Clean outlines, no shading, lots of white space."
may_04.png,May 4,a mother bird and nest,"Simple black and white coloring book page for a 4-year-old of a mother bird and nest. Clean outlines, no shading, lots of white space."
may_05.png,May 5,a bouquet of flowers,"Simple black and white coloring book page for a 4-year-old of a bouquet of flowers. Clean outlines, no shading, lots of white space."
may_06.png,May 6,a butterfly garden,"Simple black and white coloring book page for a 4-year-old of a butterfly garden. Clean outlines, no shading, lots of white space."
may_07.png,May 7,a flower garden,"Simple black and white coloring book page for a 4-year-old of a flower garden. Clean outlines, no shading, lots of white space."
may_08.png,May 8,a honeybee,"Simple black and white coloring book page for a 4-year-old of a honeybee. Clean outlines, no shading, lots of white space."
may_09.png,May 9,a mother and child hug,"Simple black and white coloring book page for a 4-year-old of a mother and child hug. Clean outlines, no shading, lots of white space."
may_10.png,May 10,a flower crown,"Simple black and white coloring book page for a 4-year-old of a flower crown. Clean outlines, no shading, lots of white space."
may_11.png,May 11,a picnic basket,"Simple black and white coloring book page for a 4-year-old of a picnic basket. Clean outlines, no shading, lots of white space."
may_12.png,May 12,lily of the valley,"Simple black and white coloring book page for a 4-year-old of lily of the valley. Clean outlines, no shading, lots of white space."
may_13.png,May 13,a heart made of flowers,"Simple black and white coloring book page for a 4-year-old of a heart made of flowers. Clean outlines, no shading, lots of white space."
may_14.png,May 14,a gift for mom,"Simple black and white coloring book page for a 4-year-old of a gift for mom. Clean outlines, no shading, lots of white space."
may_15.png,May 15,a tree in bloom,"Simple black and white coloring book page for a 4-year-old of a tree in bloom. Clean outlines, no shading, lots of white space."
may_16.png,May 16,a ladybug,"Simple black and white coloring book page for a 4-year-old of a ladybug. Clean outlines, no shading, lots of white space."
may_17.png,May 17,a sea turtle,"Simple black and white coloring book page for a 4-year-old of a sea turtle. Clean outlines, no shading, lots of white space."
may_18.png,May 18,a spring rainbow,"Simple black and white coloring book page for a 4-year-old of a spring rainbow. Clean outlines, no shading, lots of white space."
may_19.png,May 19,daisies in a field,"Simple black and white coloring book page for a 4-year-old of daisies in a field. Clean outlines, no shading, lots of white space."
may_20.png,May 20,kites in the sky,"Simple black and white coloring book page for a 4-year-old of kites in the sky. Clean outlines, no shading, lots of white space."
may_21.png,May 21,a caterpillar,"Simple black and white coloring book page for a 4-year-old of a caterpillar. Clean outlines, no shading, lots of white space."
may_22.png,May 22,fluffy clouds,"Simple black and white coloring book page for a 4-year-old of fluffy clouds. Clean outlines, no shading, lots of white space."
may_23.png,May 23,a snail on a leaf,"Simple black and white coloring book page for a 4-year-old of a snail on a leaf. Clean outlines, no shading, lots of white space."
may_24.png,May 24,a frog,"Simple black and white coloring book page for a 4-year-old of a frog. Clean outlines, no shading, lots of white space."
may_25.png,May 25,a pond with ducks,"Simple black and white coloring book page for a 4-year-old of a pond with ducks. Clean outlines, no shading, lots of white space."
may_26.png,May 26,dandelions,"Simple black and white coloring book page for a 4-year-old of dandelions. Clean outlines, no shading, lots of white space."
may_27.png,May 27,strawberries,"Simple black and white coloring book page for a 4-year-old of strawberries. Clean outlines, no shading, lots of white space."
may_28.png,May 28,a schoolhouse,"Simple black and white coloring book page for a 4-year-old of a schoolhouse. Clean outlines, no shading, lots of white space."
may_29.png,May 29,pencils and crayons,"Simple black and white coloring book page for a 4-year-old of pencils and crayons. Clean outlines, no shading, lots of white space."
may_30.png,May 30,a summer scene,"Simple black and white coloring book page for a 4-year-old of a summer scene. Clean outlines, no shading, lots of white space."
may_31.png,May 31,a dragonfly,"Simple black and white coloring book page for a 4-year-old of a dragonfly. Clean outlines, no shading, lots of white space."
june_01.png,June 1,a beach scene,"Simple black and white coloring book page for a 4-year-old of a beach scene. Clean outlines, no shading, lots of white space."
june_02.png,June 2,ocean waves,"Simple black and white coloring book page for a 4-year-old of ocean waves. Clean outlines, no shading, lots of white space."
june_03.png,June 3,seashells,"Simple black and white coloring book page for a 4-year-old of seashells. Clean outlines, no shading, lots of white space."
june_04.png,June 4,a crab,"Simple black and white coloring book page for a 4-year-old of a crab. Clean outlines, no shading, lots of white space."
june_05.png,June 5,colorful fish,"Simple black and white coloring book page for a 4-year-old of colorful fish. Clean outlines, no shading, lots of white space."
june_06.png,June 6,the summer sun,"Simple black and white coloring book page for a 4-year-old of the summer sun. Clean outlines, no shading, lots of white space."
june_07.png,June 7,a starfish,"Simple black and white coloring book page for a 4-year-old of a starfish. Clean outlines, no shading, lots of white space."
june_08.png,June 8,a sea turtle,"Simple black and white coloring book page for a 4-year-old of a sea turtle. Clean outlines, no shading, lots of white space."
june_09.png,June 9,a Hawaiian lei,"Simple black and white coloring book page for a 4-year-old of a Hawaiian lei. Clean outlines, no shading, lots of white space."
june_10.png,June 10,a hula dancer,"Simple black and white coloring book page for a 4-year-old of a hula dancer. Clean outlines, no shading, lots of white space."
june_11.png,June 11,plumeria flowers,"Simple black and white coloring book page for a 4-year-old of plumeria flowers. Clean outlines, no shading, lots of white space."
june_12.png,June 12,a Hawaiian rainbow,"Simple black and white coloring book page for a 4-year-old of a Hawaiian rainbow. Clean outlines, no shading, lots of white space."
june_13.png,June 13,palm trees,"Simple black and white coloring book page for a 4-year-old of palm trees. Clean outlines, no shading, lots of white space."
june_14.png,June 14,an ice cream cone,"Simple black and white coloring book page for a 4-year-old of an ice cream cone. Clean outlines, no shading, lots of white space."
june_15.png,June 15,a dad turtle wearing a tie with a baby turtle,"Simple black and white coloring book page for a 4-year-old of a dad turtle wearing a tie with a baby turtle. Clean outlines, no shading, lots of white space."
june_16.png,June 16,a dolphin,"Simple black and white coloring book page for a 4-year-old of a dolphin. Clean outlines, no shading, lots of white space."
june_17.png,June 17,an ocean sunset,"Simple black and white coloring book page for a 4-year-old of an ocean sunset. Clean outlines, no shading, lots of white space."
june_18.png,June 18,summer clouds,"Simple black and white coloring book page for a 4-year-old of summer clouds. Clean outlines, no shading, lots of white space."
june_19.png,June 19,a hand holding a Juneteenth flag,"Simple black and white coloring book page for a 4-year-old of a hand holding a Juneteenth flag. Clean outlines, no shading, lots of white space."
june_20.png,June 20,a whale,"Simple black and white coloring book page for a 4-year-old of a whale. Clean outlines, no shading, lots of white space."
june_21.png,June 21,a pineapple,"Simple black and white coloring book page for a 4-year-old of a pineapple. Clean outlines, no shading, lots of white space."
june_22.png,June 22,mangoes,"Simple black and white coloring book page for a 4-year-old of mangoes. Clean outlines, no shading, lots of white space."
june_23.png,June 23,coral reef,"Simple black and white coloring book page for a 4-year-old of coral reef. Clean outlines, no shading, lots of white space."
june_24.png,June 24,tropical flowers,"Simple black and white coloring book page for a 4-year-old of tropical flowers. Clean outlines, no shading, lots of white space."
june_25.png,June 25,a hermit crab,"Simple black and white coloring book page for a 4-year-old of a hermit crab. Clean outlines, no shading, lots of white space."
june_26.png,June 26,sandcastles,"Simple black and white coloring book page for a 4-year-old of sandcastles. Clean outlines, no shading, lots of white space."
june_27.png,June 27,seagulls,"Simple black and white coloring book page for a 4-year-old of seagulls. Clean outlines, no shading, lots of white space."
june_28.png,June 28,an anchor,"Simple black and white coloring book page for a 4-year-old of an anchor. Clean outlines, no shading, lots of white space."
june_29.png,June 29,a moonfish,"Simple black and white coloring book page for a 4-year-old of a moonfish. Clean outlines, no shading, lots of white space."
june_30.png,June 30,an aloha sunset,"Simple black and white coloring book page for a 4-year-old of an aloha sunset. Clean outlines, no shading, lots of white space."
july_01.png,July 1,an American flag,"Simple black and white coloring book page for a 4-year-old of an American flag. Clean outlines, no shading, lots of white space."
july_02.png,July 2,stars,"Simple black and white coloring book page for a 4-year-old of stars. Clean outlines, no shading, lots of white space."
july_03.png,July 3,fireworks,"Simple black and white coloring book page for a 4-year-old of fireworks. Clean outlines, no shading, lots of white space."
july_04.png,July 4,a 4th of July scene,"Simple black and white coloring book page for a 4-year-old of a 4th of July scene. Clean outlines, no shading, lots of white space."
july_05.png,July 5,a bald eagle,"Simple black and white coloring book page for a 4-year-old of a bald eagle. Clean outlines, no shading, lots of white space."
july_06.png,July 6,a parade,"Simple black and white coloring book page for a 4-year-old of a parade. Clean outlines, no shading, lots of white space."
july_07.png,July 7,a watermelon,"Simple black and white coloring book page for a 4-year-old of a watermelon. Clean outlines, no shading, lots of white space."
july_08.png,July 8,a summer beach,"Simple black and white coloring book page for a 4-year-old of a summer beach. Clean outlines, no shading, lots of white space."
july_09.png,July 9,the hot July sun,"Simple black and white coloring book page for a 4-year-old of the hot July sun. Clean outlines, no shading, lots of white space."
july_10.png,July 10,big ocean waves,"Simple black and white coloring book page for a 4-year-old of big ocean waves. Clean outlines, no shading, lots of white space."
july_11.png,July 11,tropical fish,"Simple black and white coloring book page for a 4-year-old of tropical fish. Clean outlines, no shading, lots of white space."
july_12.png,July 12,a sea turtle,"Simple black and white coloring book page for a 4-year-old of a sea turtle. Clean outlines, no shading, lots of white space."
july_13.png,July 13,a jumping dolphin,"Simple black and white coloring book page for a 4-year-old of a jumping dolphin. Clean outlines, no shading, lots of white space."
july_14.png,July 14,seashells,"Simple black and white coloring book page for a 4-year-old of seashells. Clean outlines, no shading, lots of white space."
july_15.png,July 15,a crab on the beach,"Simple black and white coloring book page for a 4-year-old of a crab on the beach. Clean outlines, no shading, lots of white space."
july_16.png,July 16,a turtle eating ice cream,"Simple black and white coloring book page for a 4-year-old of a turtle eating ice cream. Clean outlines, no shading, lots of white space."
july_17.png,July 17,a pineapple,"Simple black and white coloring book page for a 4-year-old of a pineapple. Clean outlines, no shading, lots of white space."
july_18.png,July 18,a flower lei,"Simple black and white coloring book page for a 4-year-old of a flower lei. Clean outlines, no shading, lots of white space."
july_19.png,July 19,a summer sunset,"Simple black and white coloring book page for a 4-year-old of a summer sunset. Clean outlines, no shading, lots of white space."
july_20.png,July 20,a sandcastle,"Simple black and white coloring book page for a 4-year-old of a sandcastle. Clean outlines, no shading, lots of white space."
july_21.png,July 21,a butterfly,"Simple black and white coloring book page for a 4-year-old of a butterfly. Clean outlines, no shading, lots of white space."
july_22.png,July 22,a summer garden,"Simple black and white coloring book page for a 4-year-old of a summer garden. Clean outlines, no shading, lots of white space."
july_23.png,July 23,sunflowers,"Simple black and white coloring book page for a 4-year-old of sunflowers. Clean outlines, no shading, lots of white space."
july_24.png,July 24,corn on the cob,"Simple black and white coloring book page for a 4-year-old of corn on the cob. Clean outlines, no shading, lots of white space."
july_25.png,July 25,berries,"Simple black and white coloring book page for a 4-year-old of berries. Clean outlines, no shading, lots of white space."
july_26.png,July 26,a lemonade stand,"Simple black and white coloring book page for a 4-year-old of a lemonade stand. Clean outlines, no shading, lots of white space."
july_27.png,July 27,kites in a blue sky,"Simple black and white coloring book page for a 4-year-old of kites in a blue sky. Clean outlines, no shading, lots of white space."
july_28.png,July 28,summer clouds,"Simple black and white coloring book page for a 4-year-old of summer clouds. Clean outlines, no shading, lots of white space."
july_29.png,July 29,water lilies,"Simple black and white coloring book page for a 4-year-old of water lilies. Clean outlines, no shading, lots of white space."
july_30.png,July 30,fireflies at night,"Simple black and white coloring book page for a 4-year-old of fireflies at night. Clean outlines, no shading, lots of white space."
july_31.png,July 31,a summer fun scene,"Simple black and white coloring book page for a 4-year-old of a summer fun scene. Clean outlines, no shading, lots of white space."
august_01.png,August 1,a backpack,"Simple black and white coloring book page for a 4-year-old of a backpack. Clean outlines, no shading, lots of white space."
august_02.png,August 2,pencils,"Simple black and white coloring book page for a 4-year-old of pencils. Clean outlines, no shading, lots of white space."
august_03.png,August 3,books,"Simple black and white coloring book page for a 4-year-old of books. Clean outlines, no shading, lots of white space."
august_04.png,August 4,an apple for the teacher,"Simple black and white coloring book page for a 4-year-old of an apple for the teacher. Clean outlines, no shading, lots of white space."
august_05.png,August 5,a schoolhouse,"Simple black and white coloring book page for a 4-year-old of a schoolhouse. Clean outlines, no shading, lots of white space."
august_06.png,August 6,a school bus,"Simple black and white coloring book page for a 4-year-old of a school bus. Clean outlines, no shading, lots of white space."
august_07.png,August 7,crayons,"Simple black and white coloring book page for a 4-year-old of crayons. Clean outlines, no shading, lots of white space."
august_08.png,August 8,a ruler,"Simple black and white coloring book page for a 4-year-old of a ruler. Clean outlines, no shading, lots of white space."
august_09.png,August 9,a last summer beach day,"Simple black and white coloring book page for a 4-year-old of a last summer beach day. Clean outlines, no shading, lots of white space."
august_10.png,August 10,the late summer sun,"Simple black and white coloring book page for a 4-year-old of the late summer sun. Clean outlines, no shading, lots of white space."
august_11.png,August 11,sunflowers,"Simple black and white coloring book page for a 4-year-old of sunflowers. Clean outlines, no shading, lots of white space."
august_12.png,August 12,a cornfield,"Simple black and white coloring book page for a 4-year-old of a cornfield. Clean outlines, no shading, lots of white space."
