Filename Path,Date,Month #,Day,Subject,Holiday name,Holiday blurb,Tradition / Region,ChatGPT Prompt
christian-catholic/may_01.png,May 1,5,1,Mary crowned with flowers,May Crowning of Mary,Today begins May — the month of Mary. Families crown Mary with flowers as queen of heaven and ask for her blessing.,Catholic,"Simple black and white coloring book page for a 4-year-old of Mary crowned with flowers. Clean outlines, no shading, lots of white space."
christian-catholic/may_13.png,May 13,5,13,Our Lady of Fatima with a rosary,Our Lady of Fatima,Today we remember Our Lady of Fatima. Mary appeared to three children and asked the world to pray for peace.,Catholic,"Simple black and white coloring book page for a 4-year-old of Our Lady of Fatima with a rosary. Clean outlines, no shading, lots of white space."
christian-catholic/june_13.png,June 13,6,13,Saint Anthony with baby Jesus,St. Anthony of Padua,"Today is the feast of St. Anthony, the patron saint of lost things. If you lose something, ask St. Anthony to help you find it!",Catholic,"Simple black and white coloring book page for a 4-year-old of Saint Anthony with baby Jesus. Clean outlines, no shading, lots of white space."
christian-catholic/june_24.png,June 24,6,24,John the Baptist by the river,Nativity of St. John the Baptist,"Today we celebrate the birth of St. John the Baptist, who prepared the way for Jesus and baptized Him in the river Jordan.",Catholic,"Simple black and white coloring book page for a 4-year-old of John the Baptist by the river. Clean outlines, no shading, lots of white space."
christian-catholic/june_29.png,June 29,6,29,Saint Peter with keys,Sts. Peter and Paul,"Today is the feast of St. Peter and St. Paul, two of the greatest apostles who helped build the Church and spread the Good News everywhere.",Catholic,"Simple black and white coloring book page for a 4-year-old of Saint Peter with keys. Clean outlines, no shading, lots of white space."
christian-catholic/july_31.png,July 31,7,31,Saint Ignatius of Loyola,St. Ignatius of Loyola,"Today is the feast of St. Ignatius, who said we should do everything for the greater glory of God.",Catholic,"Simple black and white coloring book page for a 4-year-old of Saint Ignatius of Loyola. Clean outlines, no shading, lots of white space."
christian-catholic/august_15.png,August 15,8,15,the Assumption of Mary into heaven,Assumption of Mary,"Today we celebrate the Assumption — when Mary, the mother of Jesus, was taken up to heaven body and soul.",Catholic,"Simple black and white coloring book page for a 4-year-old of the Assumption of Mary into heaven. Clean outlines, no shading, lots of white space."
christian-catholic/september_29.png,September 29,9,29,Saint Michael the Archangel,Feast of the Archangels,"Today we celebrate the archangels Michael, Gabriel, and Raphael — God's special messengers who protect and guide us.",Catholic,"Simple black and white coloring book page for a 4-year-old of Saint Michael the Archangel. Clean outlines, no shading, lots of white space."
christian-catholic/october_04.png,October 4,10,4,Saint Francis with animals,St. Francis of Assisi,"Today is the feast of St. Francis, who loved all of God's creatures — the birds, the animals, and even Brother Sun and Sister Moon.",Catholic,"Simple black and white coloring book page for a 4-year-old of Saint Francis with animals. Clean outlines, no shading, lots of white space."
christian-catholic/november_01.png,November 1,11,1,many saints in heaven,All Saints' Day,Today is All Saints' Day! We remember all the holy people who showed us how to love God.,Catholic,"Simple black and white coloring book page for a 4-year-old of many saints in heaven. Clean outlines, no shading, lots of white space."
christian-catholic/november_02.png,November 2,11,2,a candle for the faithful departed,All Souls' Day,Today is All Souls' Day. We pray for all our loved ones who are with God in heaven.,Catholic,"Simple black and white coloring book page for a 4-year-old of a candle for the faithful departed. Clean outlines, no shading, lots of white space."
christian-catholic/december_08.png,December 8,12,8,Mary in white robes — Immaculate Conception,Immaculate Conception,Today we celebrate the Immaculate Conception — God made Mary full of grace from the very first moment of her life.,Catholic,"Simple black and white coloring book page for a 4-year-old of Mary in white robes — Immaculate Conception. Clean outlines, no shading, lots of white space."
christian-catholic/december_12.png,December 12,12,12,Our Lady of Guadalupe with roses,Our Lady of Guadalupe,"Today we honor Our Lady of Guadalupe, who appeared to Juan Diego and showed her love for all of God's children.",Catholic,"Simple black and white coloring book page for a 4-year-old of Our Lady of Guadalupe with roses. Clean outlines, no shading, lots of white space."
christian-catholic/december_13.png,December 13,12,13,Saint Lucy with candles,St. Lucy,"Today is the feast of St. Lucy, whose name means light. She brought hope and light to people in the darkest places.",Catholic,"Simple black and white coloring book page for a 4-year-old of Saint Lucy with candles. Clean outlines, no shading, lots of white space."
christian-catholic/december_25.png,December 25,12,25,the Holy Family in the stable,,,Catholic,"Simple black and white coloring book page for a 4-year-old of the Holy Family in the stable. Clean outlines, no shading, lots of white space."
hindu/january_14.png,January 14,1,14,a Pongal sun and pot,Pongal,Happy Pongal! Today we thank the sun and the earth for giving us food. We cook sweet rice and celebrate!,Hindu,"Simple black and white coloring book page for a 4-year-old of a Pongal sun and pot. Clean outlines, no shading, lots of white space."
hindu/january_15.png,January 15,1,15,kites in the sky for Makar Sankranti,Makar Sankranti,Happy Makar Sankranti! Today the sun begins its journey north. Families fly colorful kites to welcome warmer days!,Hindu,"Simple black and white coloring book page for a 4-year-old of kites in the sky for Makar Sankranti. Clean outlines, no shading, lots of white space."
hindu/february_02.png,February 2,2,2,Saraswati with a veena,Vasant Panchami,"Happy Vasant Panchami! Today we honor Saraswati, the goddess of learning and music. Wear yellow and bless your books!",Hindu,"Simple black and white coloring book page for a 4-year-old of Saraswati with a veena. Clean outlines, no shading, lots of white space."
hindu/march_03.png,March 3,3,3,children playing Holi with colors,Holi,Happy Holi! Today we throw colors and dance and sing. Krishna loves to celebrate Holi!,Hindu,"Simple black and white coloring book page for a 4-year-old of children playing Holi with colors. Clean outlines, no shading, lots of white space."
hindu/march_04.png,March 4,3,4,Krishna with a flute,Dhulandi (Day of Holi),The Holi celebration continues! Krishna and his friends loved playing with colors — today we do the same.,Hindu,"Simple black and white coloring book page for a 4-year-old of Krishna with a flute. Clean outlines, no shading, lots of white space."
hindu/april_06.png,April 6,4,6,Rama with a bow,Ram Navami,Happy Ram Navami! Today we celebrate the birth of Lord Rama — the brave and kind prince.,Hindu,"Simple black and white coloring book page for a 4-year-old of Rama with a bow. Clean outlines, no shading, lots of white space."
hindu/april_13.png,April 13,4,13,Hanuman the monkey god,Hanuman Jayanti,Happy Hanuman Jayanti! Today we celebrate Hanuman — the brave monkey-god who helped Rama with strength and devotion.,Hindu,"Simple black and white coloring book page for a 4-year-old of Hanuman the monkey god. Clean outlines, no shading, lots of white space."
hindu/may_11.png,May 11,5,11,Buddha sitting on a lotus,Buddha Purnima,Happy Buddha Purnima! Today we celebrate the Buddha's birthday — the wise teacher who taught kindness and peace.,Hindu,"Simple black and white coloring book page for a 4-year-old of Buddha sitting on a lotus. Clean outlines, no shading, lots of white space."
hindu/july_21.png,July 21,7,21,a guru teaching a student,Guru Purnima,Happy Guru Purnima! Today we thank all our teachers — the people who help us learn and grow wise.,Hindu,"Simple black and white coloring book page for a 4-year-old of a guru teaching a student. Clean outlines, no shading, lots of white space."
hindu/august_09.png,August 9,8,9,a sister tying a rakhi on her brother's wrist,Raksha Bandhan,Happy Raksha Bandhan! Today sisters tie a rakhi around their brother's wrist as a promise of love and protection.,Hindu,"Simple black and white coloring book page for a 4-year-old of a sister tying a rakhi on her brother's wrist. Clean outlines, no shading, lots of white space."
hindu/august_16.png,August 16,8,16,baby Krishna in a swing,Krishna Janmashtami,Happy Janmashtami! Today we celebrate the birth of Lord Krishna — the playful blue god who plays his flute.,Hindu,"Simple black and white coloring book page for a 4-year-old of baby Krishna in a swing. Clean outlines, no shading, lots of white space."
hindu/september_07.png,September 7,9,7,Ganesha the elephant god,Ganesha Visarjan,Today families carry Ganesha to the river in a colorful procession and say goodbye until next year. Ganpati Bappa Morya!,Hindu,"Simple black and white coloring book page for a 4-year-old of Ganesha the elephant god. Clean outlines, no shading, lots of white space."
hindu/september_14.png,September 14,9,14,Ganesha being carried in a procession,Ganesha Visarjan,Today families carry Ganesha to the river in a colorful procession and say goodbye until next year. Ganpati Bappa Morya!,Hindu,"Simple black and white coloring book page for a 4-year-old of Ganesha being carried in a procession. Clean outlines, no shading, lots of white space."
hindu/october_15.png,October 15,10,15,the goddess Durga riding a lion,Dussehra,Happy Dussehra! Today is the tenth day of Navratri — we celebrate the victory of good over evil. Rama defeated Ravana and goodness always wins!,Hindu,"Simple black and white coloring book page for a 4-year-old of the goddess Durga riding a lion. Clean outlines, no shading, lots of white space."
hindu/october_18.png,October 18,10,18,children dancing dandiya,Maha Navami (Navratri day 9),It's Maha Navami — the 9th night of Navratri! Tonight is the great celebration of Goddess Durga. Dance dandiya and garba!,Hindu,"Simple black and white coloring book page for a 4-year-old of children dancing dandiya. Clean outlines, no shading, lots of white space."
hindu/october_21.png,October 21,10,21,Rama defeating Ravana,Dussehra celebrations,The Dussehra festival continues. We remember how good always wins over evil — just like Rama defeated Ravana.,Hindu,"Simple black and white coloring book page for a 4-year-old of Rama defeating Ravana. Clean outlines, no shading, lots of white space."
hindu/november_07.png,November 7,11,7,a colorful rangoli pattern,Dhanteras,Happy Dhanteras! Today we draw rangoli patterns at our doorways and welcome good fortune for Diwali.,Hindu,"Simple black and white coloring book page for a 4-year-old of a colorful rangoli pattern. Clean outlines, no shading, lots of white space."
hindu/november_08.png,November 8,11,8,diyas lit for Diwali,Diwali,Happy Diwali! Today we celebrate the victory of light over darkness. Ram has come home — light your diyas!,Hindu,"Simple black and white coloring book page for a 4-year-old of diyas lit for Diwali. Clean outlines, no shading, lots of white space."
hindu/november_09.png,November 9,11,9,the goddess Lakshmi,Govardhan Puja,"Today is Govardhan Puja — the day after Diwali. We honor Lakshmi, the goddess of prosperity and abundance.",Hindu,"Simple black and white coloring book page for a 4-year-old of the goddess Lakshmi. Clean outlines, no shading, lots of white space."
hindu/november_10.png,November 10,11,10,Diwali fireworks,Bhai Dooj,"Happy Bhai Dooj! Today sisters and brothers celebrate each other with sweets, prayers, and fireworks.",Hindu,"Simple black and white coloring book page for a 4-year-old of Diwali fireworks. Clean outlines, no shading, lots of white space."
india/january_14.png,January 14,1,14,kites in the sky,Makar Sankranti,Happy Makar Sankranti! Time to fly kites and eat til-gul. May your days be sweet!,India,"Simple black and white coloring book page for a 4-year-old of kites in the sky. Clean outlines, no shading, lots of white space."
india/january_15.png,January 15,1,15,a rangoli pattern,Sankranti continues,It's the second day of the Sankranti festival. Draw a rangoli pattern at your doorstep!,India,"Simple black and white coloring book page for a 4-year-old of a rangoli pattern. Clean outlines, no shading, lots of white space."
india/january_26.png,January 26,1,26,the Indian flag,Republic Day,Happy Republic Day! Today we celebrate India's Constitution and the dream of a free nation.,India,"Simple black and white coloring book page for a 4-year-old of the Indian flag. Clean outlines, no shading, lots of white space."
india/february_14.png,February 14,2,14,a lotus flower,India's National Flower,"The lotus is India's national flower — it grows beautifully even in muddy water, reminding us to bloom wherever we are.",India,"Simple black and white coloring book page for a 4-year-old of a lotus flower. Clean outlines, no shading, lots of white space."
india/march_03.png,March 3,3,3,children playing Holi,Holi in India,"All across India today, people throw bright gulal powders, dance, and shout 'Holi hai!' — it's the festival of colors.",India,"Simple black and white coloring book page for a 4-year-old of children playing Holi. Clean outlines, no shading, lots of white space."
india/april_15.png,April 15,4,15,mangoes on a tree,Mango season,Mango season is here! The king of fruits is ripe — savor every sweet bite.,India,"Simple black and white coloring book page for a 4-year-old of mangoes on a tree. Clean outlines, no shading, lots of white space."
india/may_10.png,May 10,5,10,a peacock,India's National Bird,The peacock is India's national bird. Its colorful feathers and graceful dance bring joy to everyone who sees it.,India,"Simple black and white coloring book page for a 4-year-old of a peacock. Clean outlines, no shading, lots of white space."
india/june_15.png,June 15,6,15,monsoon rain and umbrella,Monsoon season,"Monsoon season has arrived! The rains cool the earth, fill the rivers, and bring life to the fields. Grab an umbrella!",India,"Simple black and white coloring book page for a 4-year-old of monsoon rain and umbrella. Clean outlines, no shading, lots of white space."
india/july_10.png,July 10,7,10,a decorated elephant,Festival elephants,"In Indian festivals, elephants are decorated with colorful paint and ornaments — they are honored as gentle giants.",India,"Simple black and white coloring book page for a 4-year-old of a decorated elephant. Clean outlines, no shading, lots of white space."
india/august_15.png,August 15,8,15,the Indian tricolor flag,Independence Day,Jai Hind! Today we celebrate India's freedom. Let us be proud of our beautiful country.,India,"Simple black and white coloring book page for a 4-year-old of the Indian tricolor flag. Clean outlines, no shading, lots of white space."
india/september_05.png,September 5,9,5,a teacher and students,Teachers' Day,Happy Teachers' Day! Say thank you to the teachers who help you learn and grow.,India,"Simple black and white coloring book page for a 4-year-old of a teacher and students. Clean outlines, no shading, lots of white space."
india/october_02.png,October 2,10,2,a spinning wheel (charkha),Gandhi Jayanti,"Today we remember Mahatma Gandhi, who taught us that truth and love can change the world.",India,"Simple black and white coloring book page for a 4-year-old of a spinning wheel (charkha). Clean outlines, no shading, lots of white space."
india/october_14.png,October 14,10,14,a diya lamp,Diwali preparations,"Diwali is coming soon! Families clean their homes and light diyas to welcome Lakshmi, the goddess of prosperity.",India,"Simple black and white coloring book page for a 4-year-old of a diya lamp. Clean outlines, no shading, lots of white space."
india/october_15.png,October 15,10,15,Diwali lanterns,Diwali preparations,Hang colorful Diwali lanterns to welcome light and joy into your home.,India,"Simple black and white coloring book page for a 4-year-old of Diwali lanterns. Clean outlines, no shading, lots of white space."
india/october_16.png,October 16,10,16,a Rangoli pattern,Diwali preparations,Draw a beautiful rangoli at your doorstep for Diwali — a colorful welcome to friends and good fortune.,India,"Simple black and white coloring book page for a 4-year-old of a Rangoli pattern. Clean outlines, no shading, lots of white space."
india/november_14.png,November 14,11,14,happy children playing,Children's Day,"Happy Children's Day! Today is YOUR special day — play, laugh, and have fun!",India,"Simple black and white coloring book page for a 4-year-old of happy children playing. Clean outlines, no shading, lots of white space."
india/december_15.png,December 15,12,15,a cup of chai,Chai season,"Winter chai is the perfect cozy drink. Spiced with cardamom, ginger, and warmth — every cup is love.",India,"Simple black and white coloring book page for a 4-year-old of a cup of chai. Clean outlines, no shading, lots of white space."
jewish/february_02.png,February 2,2,2,a tree with fruit for Tu B'Shevat,Tu B'Shevat,Happy Tu B'Shevat! Today we celebrate trees and the food they give us.,Jewish,"Simple black and white coloring book page for a 4-year-old of a tree with fruit for Tu B'Shevat. Clean outlines, no shading, lots of white space."
jewish/march_03.png,March 3,3,3,a Purim mask and noisemaker (grogger),Purim,"Happy Purim! Today we wear costumes, make noise with groggers, and eat sweet hamantaschen cookies.",Jewish,"Simple black and white coloring book page for a 4-year-old of a Purim mask and noisemaker (grogger). Clean outlines, no shading, lots of white space."
jewish/march_04.png,March 4,3,4,hamantaschen cookies,Shushan Purim,It's the second day of Purim — Shushan Purim. We eat more hamantaschen and share food with friends!,Jewish,"Simple black and white coloring book page for a 4-year-old of hamantaschen cookies. Clean outlines, no shading, lots of white space."
jewish/april_01.png,April 1,4,1,matzah and a seder plate,Passover (first day),Happy Passover! Tonight families gather for the seder and remember the story of leaving Egypt.,Jewish,"Simple black and white coloring book page for a 4-year-old of matzah and a seder plate. Clean outlines, no shading, lots of white space."
jewish/april_02.png,April 2,4,2,Elijah's cup at the seder,Passover,It's the second day of Passover. We eat matzah and remember our story.,Jewish,"Simple black and white coloring book page for a 4-year-old of Elijah's cup at the seder. Clean outlines, no shading, lots of white space."
jewish/april_09.png,April 9,4,9,Moses parting the Red Sea,Last day of Passover,Today is the last day of Passover. Tomorrow we can eat bread again!,Jewish,"Simple black and white coloring book page for a 4-year-old of Moses parting the Red Sea. Clean outlines, no shading, lots of white space."
jewish/may_22.png,May 22,5,22,the Torah scroll,Shavuot,Happy Shavuot! Today we celebrate receiving the Torah at Mount Sinai.,Jewish,"Simple black and white coloring book page for a 4-year-old of the Torah scroll. Clean outlines, no shading, lots of white space."
jewish/may_23.png,May 23,5,23,wheat and seven kinds of fruits,Shavuot (day 2),It's the second day of Shavuot. Today we celebrate the seven species — the foods of the land of Israel.,Jewish,"Simple black and white coloring book page for a 4-year-old of wheat and seven kinds of fruits. Clean outlines, no shading, lots of white space."
jewish/september_12.png,September 12,9,12,a shofar being blown,Rosh Hashanah,L'shanah tovah! Happy Jewish New Year! Today we blow the shofar and eat apples dipped in honey for a sweet year.,Jewish,"Simple black and white coloring book page for a 4-year-old of a shofar being blown. Clean outlines, no shading, lots of white space."
jewish/september_13.png,September 13,9,13,apples and honey,Rosh Hashanah (day 2),It's the second day of Rosh Hashanah. May this be a sweet new year for everyone!,Jewish,"Simple black and white coloring book page for a 4-year-old of apples and honey. Clean outlines, no shading, lots of white space."
jewish/september_21.png,September 21,9,21,the book of life,Yom Kippur,"Today is Yom Kippur, the Day of Atonement. We think about how to be a better person this year.",Jewish,"Simple black and white coloring book page for a 4-year-old of the book of life. Clean outlines, no shading, lots of white space."
jewish/september_26.png,September 26,9,26,a sukkah decorated with fruits,Sukkot (first day),Happy Sukkot! Today we build a sukkah and eat meals inside it. Wave the lulav!,Jewish,"Simple black and white coloring book page for a 4-year-old of a sukkah decorated with fruits. Clean outlines, no shading, lots of white space."
jewish/september_27.png,September 27,9,27,a lulav and etrog,Sukkot (day 2),It's the second day of Sukkot. Wave the lulav and etrog and celebrate the harvest!,Jewish,"Simple black and white coloring book page for a 4-year-old of a lulav and etrog. Clean outlines, no shading, lots of white space."
jewish/october_04.png,October 4,10,4,people dancing with Torah scrolls,Simchat Torah,Happy Simchat Torah! Today we dance with the Torah scrolls and celebrate finishing and starting again.,Jewish,"Simple black and white coloring book page for a 4-year-old of people dancing with Torah scrolls. Clean outlines, no shading, lots of white space."
jewish/december_04.png,December 4,12,4,a menorah with one candle lit,Hanukkah (first night),Happy Hanukkah! Tonight we light the first candle of the menorah. The miracle of light begins!,Jewish,"Simple black and white coloring book page for a 4-year-old of a menorah with one candle lit. Clean outlines, no shading, lots of white space."
jewish/december_07.png,December 7,12,7,spinning dreidels,Hanukkah (day 4),Four candles glow tonight. The Hanukkah lights grow brighter each night.,Jewish,"Simple black and white coloring book page for a 4-year-old of spinning dreidels. Clean outlines, no shading, lots of white space."
jewish/december_10.png,December 10,12,10,latkes and applesauce,Hanukkah (day 7),Seven candles tonight! One more night to go for the full menorah.,Jewish,"Simple black and white coloring book page for a 4-year-old of latkes and applesauce. Clean outlines, no shading, lots of white space."
jewish/december_12.png,December 12,12,12,a menorah fully lit with all candles,Hanukkah ends,Today the menorah candles burn one last time and Hanukkah ends. The miracle of light lives on in our hearts.,Jewish,"Simple black and white coloring book page for a 4-year-old of a menorah fully lit with all candles. Clean outlines, no shading, lots of white space."
muslim/january_16.png,January 16,1,16,a beautiful mosque at night,Lailat al-Miraj,Tonight is Lailat al-Miraj — we remember the Prophet Muhammad's night journey to the heavens.,Muslim,"Simple black and white coloring book page for a 4-year-old of a beautiful mosque at night. Clean outlines, no shading, lots of white space."
muslim/february_17.png,February 17,2,17,the crescent moon over a mosque,First day of Ramadan,Ramadan Mubarak! Today the holy month of fasting begins. Families pray together and share meals after sunset.,Muslim,"Simple black and white coloring book page for a 4-year-old of the crescent moon over a mosque. Clean outlines, no shading, lots of white space."
muslim/february_20.png,February 20,2,20,a Ramadan lantern (fanoos),Ramadan continues,We're in the holy month of Ramadan. Hang the fanoos (lanterns) and share food with neighbors after sunset.,Muslim,"Simple black and white coloring book page for a 4-year-old of a Ramadan lantern (fanoos). Clean outlines, no shading, lots of white space."
muslim/march_15.png,March 15,3,15,an open Quran with prayer beads,Laylat al-Qadr,Tonight is Laylat al-Qadr — the Night of Power — when the Quran was first revealed to the Prophet Muhammad.,Muslim,"Simple black and white coloring book page for a 4-year-old of an open Quran with prayer beads. Clean outlines, no shading, lots of white space."
muslim/march_19.png,March 19,3,19,a family celebrating Eid al-Fitr,Eid al-Fitr,"Eid Mubarak! Today is Eid al-Fitr — the celebration at the end of Ramadan. Families pray, share gifts, and eat sweets together.",Muslim,"Simple black and white coloring book page for a 4-year-old of a family celebrating Eid al-Fitr. Clean outlines, no shading, lots of white space."
muslim/march_20.png,March 20,3,20,Eid gifts (Eidi) and sweets,Eid al-Fitr (day 2),"Eid celebrations continue today — more family, more food, more joy.",Muslim,"Simple black and white coloring book page for a 4-year-old of Eid gifts (Eidi) and sweets. Clean outlines, no shading, lots of white space."
muslim/may_26.png,May 26,5,26,a family celebrating Eid al-Adha,Eid al-Adha,Eid Mubarak! Today is Eid al-Adha — the Festival of Sacrifice. We remember Prophet Ibrahim and share food with our neighbors.,Muslim,"Simple black and white coloring book page for a 4-year-old of a family celebrating Eid al-Adha. Clean outlines, no shading, lots of white space."
muslim/may_27.png,May 27,5,27,sheep grazing in a field,Eid al-Adha (day 2),Eid al-Adha celebrations continue. Visiting family and sharing meals.,Muslim,"Simple black and white coloring book page for a 4-year-old of sheep grazing in a field. Clean outlines, no shading, lots of white space."
muslim/june_15.png,June 15,6,15,the Kaaba at Mecca,Hajj season,"During Hajj season, millions of Muslims travel to Mecca to circle the Kaaba — the holy house built by Prophet Ibrahim.",Muslim,"Simple black and white coloring book page for a 4-year-old of the Kaaba at Mecca. Clean outlines, no shading, lots of white space."
muslim/july_05.png,July 5,7,5,a crescent moon and stars,Hijri New Year,Today is the Islamic New Year — the start of a new Hijri year. May it bring blessings to all.,Muslim,"Simple black and white coloring book page for a 4-year-old of a crescent moon and stars. Clean outlines, no shading, lots of white space."
muslim/july_14.png,July 14,7,14,a cup of water for Ashura,Day of Ashura,"Today is Ashura — a day of fasting, remembrance, and reflection.",Muslim,"Simple black and white coloring book page for a 4-year-old of a cup of water for Ashura. Clean outlines, no shading, lots of white space."
muslim/september_13.png,September 13,9,13,a green mosque with a star,Mawlid an-Nabi,Today we celebrate Mawlid an-Nabi — the birthday of the Prophet Muhammad ﷺ.,Muslim,"Simple black and white coloring book page for a 4-year-old of a green mosque with a star. Clean outlines, no shading, lots of white space."
christian-protestant/january_06.png,January 6,1,6,the three wise men bringing gifts,Epiphany,Today is Epiphany! We remember the three wise men who followed the star to find Jesus.,Protestant,"Simple black and white coloring book page for a 4-year-old of the three wise men bringing gifts. Clean outlines, no shading, lots of white space."
christian-protestant/february_14.png,February 14,2,14,a heart with a Bible,Valentine's Day,Happy Valentine's Day! Today we celebrate love — and remember that God is love.,Protestant,"Simple black and white coloring book page for a 4-year-old of a heart with a Bible. Clean outlines, no shading, lots of white space."
christian-protestant/april_03.png,April 3,4,3,palm branches for Palm Sunday,Good Friday,Today is Good Friday. We remember how much Jesus loved us.,Protestant,"Simple black and white coloring book page for a 4-year-old of palm branches for Palm Sunday. Clean outlines, no shading, lots of white space."
christian-protestant/april_05.png,April 5,4,5,the empty tomb with sunrise,Easter Sunday,He is risen! Today is Easter — the most joyful day of the year. Jesus is alive!,Protestant,"Simple black and white coloring book page for a 4-year-old of the empty tomb with sunrise. Clean outlines, no shading, lots of white space."
christian-protestant/may_24.png,May 24,5,24,tongues of fire over the disciples,Pentecost,Happy Pentecost! Today we celebrate when the Holy Spirit came down like tongues of fire and filled the disciples with courage and joy.,Protestant,"Simple black and white coloring book page for a 4-year-old of tongues of fire over the disciples. Clean outlines, no shading, lots of white space."
christian-protestant/october_31.png,October 31,10,31,an open Bible with light shining out,Reformation Day,Today is Reformation Day. We remember when Martin Luther helped people read the Bible in their own language.,Protestant,"Simple black and white coloring book page for a 4-year-old of an open Bible with light shining out. Clean outlines, no shading, lots of white space."
christian-protestant/november_26.png,November 26,11,26,a Thanksgiving table with a turkey,Thanksgiving,Happy Thanksgiving! Today we gather with family to thank God for all our blessings.,Protestant,"Simple black and white coloring book page for a 4-year-old of a Thanksgiving table with a turkey. Clean outlines, no shading, lots of white space."
christian-protestant/december_06.png,December 6,12,6,an Advent wreath with two candles lit,Second Sunday of Advent,It's the second Sunday of Advent. We light two candles and prepare our hearts for Jesus.,Protestant,"Simple black and white coloring book page for a 4-year-old of an Advent wreath with two candles lit. Clean outlines, no shading, lots of white space."
christian-protestant/december_13.png,December 13,12,13,an Advent wreath with three candles lit,Third Sunday of Advent,It's the third Sunday of Advent — the joy candle is lit! Christmas is almost here.,Protestant,"Simple black and white coloring book page for a 4-year-old of an Advent wreath with three candles lit. Clean outlines, no shading, lots of white space."
christian-protestant/december_20.png,December 20,12,20,an Advent wreath with four candles lit,Fourth Sunday of Advent,It's the fourth Sunday of Advent. All four candles glow tonight — Christmas Eve is so close!,Protestant,"Simple black and white coloring book page for a 4-year-old of an Advent wreath with four candles lit. Clean outlines, no shading, lots of white space."
christian-protestant/december_24.png,December 24,12,24,the star of Bethlehem over the stable,Christmas Eve,Tonight is Christmas Eve! Tomorrow we celebrate the birth of Jesus.,Protestant,"Simple black and white coloring book page for a 4-year-old of the star of Bethlehem over the stable. Clean outlines, no shading, lots of white space."
christian-protestant/december_25.png,December 25,12,25,baby Jesus in the manger,,,Protestant,"Simple black and white coloring book page for a 4-year-old of baby Jesus in the manger. Clean outlines, no shading, lots of white space."
